	Params	Mutation_Rate	Cross_Rate	Population_Size	Total_Generations	Elistism	Selection_Method	Tournament_Count	Bests_Results	Number_times_got_best_solution
17	Mutation_Rate 0.05, Cross_Rate 0.7, Population 50, Generation 50, Elitism 1, Selection_Method T, Tournament: 10	0.05	0.7	50	50	1	T	10	385.31666666666666	1
21	Mutation_Rate 0.05, Cross_Rate 0.7, Population 50, Generation 50, Elitism 5, Selection_Method T, Tournament: 10	0.05	0.7	50	50	5	T	10	388.9590909090909	1
37	Mutation_Rate 0.1, Cross_Rate 0.7, Population 50, Generation 50, Elitism 5, Selection_Method T, Tournament: 10	0.1	0.7	50	50	5	T	10	398.13421052631577	1
45	Mutation_Rate 0.1, Cross_Rate 1, Population 50, Generation 50, Elitism 5, Selection_Method T, Tournament: 10	0.1	1.0	50	50	5	T	10	401.00652173913045	1
81	Mutation_Rate 0.1, Cross_Rate 0.7, Population 100, Generation 50, Elitism 1, Selection_Method T, Tournament: 10	0.1	0.7	100	50	1	T	10	395.69268292682926	1
85	Mutation_Rate 0.1, Cross_Rate 0.7, Population 100, Generation 50, Elitism 5, Selection_Method T, Tournament: 10	0.1	0.7	100	50	5	T	10	395.9639534883721	1
108	Mutation_Rate 0.01, Cross_Rate 1, Population 250, Generation 50, Elitism 5, Selection_Method T, Tournament: 2	0.01	1.0	250	50	5	T	2	393.89174311926604	1
152	Mutation_Rate 0.01, Cross_Rate 1, Population 50, Generation 200, Elitism 1, Selection_Method T, Tournament: 2	0.01	1.0	50	200	1	T	2	389.2437908496732	1
159	Mutation_Rate 0.01, Cross_Rate 1, Population 50, Generation 200, Elitism 5, Selection_Method R, Tournament: 10	0.01	1.0	50	200	5	R	10	386.459375	1
177	Mutation_Rate 0.1, Cross_Rate 0.7, Population 50, Generation 200, Elitism 1, Selection_Method T, Tournament: 10	0.1	0.7	50	200	1	T	10	383.7168539325843	1
207	Mutation_Rate 0.01, Cross_Rate 1, Population 100, Generation 200, Elitism 5, Selection_Method R, Tournament: 10	0.01	1.0	100	200	5	R	10	379.66153846153844	1
220	Mutation_Rate 0.05, Cross_Rate 1, Population 100, Generation 200, Elitism 5, Selection_Method T, Tournament: 2	0.05	1.0	100	200	5	T	2	378.64027149321265	1
222	Mutation_Rate 0.05, Cross_Rate 1, Population 100, Generation 200, Elitism 5, Selection_Method R, Tournament: 2	0.05	1.0	100	200	5	R	2	378.11973094170406	1
268	Mutation_Rate 0.05, Cross_Rate 1, Population 250, Generation 200, Elitism 5, Selection_Method T, Tournament: 2	0.05	1.0	250	200	5	T	2	373.8776951672862	1
0	Mutation_Rate 0.01, Cross_Rate 0.7, Population 50, Generation 50, Elitism 1, Selection_Method T, Tournament: 2	0.01	0.7	50	50	1	T	2	397.7	0
